tournament_year,match_date,stage,home_team_name,away_team_name,home_team_norm,away_team_norm,home_score,away_score,stadium_name,city,referee_name,attendance,home_manager_name,away_manager_name,tournament_id,match_id,home_team_id,away_team_id,stadium_id,referee_id,home_manager_id,away_manager_id,result,target
1934,1934-05-31,Quarter-finals,Italy,Spain,italy,spain,1,1,"Giovanni Berta, Florence",Italy,Louis Baert,35000,Vittorio Pozzo,Amadeo Garcia,wc_1934,match_709f7b6d71de,team_bab4ac375ada,team_1747d4b2dd4b,stadium_a8892e7b09fb,referee_ce0106083756,manager_47bebc77b4f0,manager_61072a61a0c3,draw,1
1934,1934-05-31,Quarter-finals,Germany,Sweden,germany,sweden,2,1,"San Siro, Milan",Italy,Rinaldo Barlassina,3000,Otto Nerz,Joszef Nagy,wc_1934,match_910b9dce5911,team_28ef36b35ae8,team_88e52ee42fd0,stadium_33529863745f,referee_73d0dec62d33,manager_2f09cb7f7c69,manager_50fe938de3e3,home_win,0
1934,1934-05-31,Quarter-finals,Austria,Hungary,austria,hungary,2,1,"Littorale, Bologna",Italy,Francesco Mattea,23000,Hugo Meisl,Odon Nadas,wc_1934,match_b071651ee4f5,team_6cd0c266688a,team_3b4bbcb74728,stadium_799256a6185f,referee_d51d12d1fccd,manager_6fd3cc613e7d,manager_637bdfa990dc,home_win,0
1934,1934-05-31,Quarter-finals,Czechoslovakia,Switzerland,czechoslovakia,switzerland,3,2,"Stadio Benito Mussolini, Turin",Italy,Alois Beranek,12000,Karel Petru,Henry Mueller,wc_1934,match_c721a4b558d0,team_43c05d43f993,team_0d9c575f4f02,stadium_3bcc94b343ec,referee_29258812dc96,manager_9b41188675fe,manager_bb18413e315e,home_win,0
1934,1934-06-01,Quarter-finals,Italy,Spain,italy,spain,1,0,"Giovanni Berta, Florence",Italy,Rene Mercet,43000,Vittorio Pozzo,Amadeo Garcia,wc_1934,match_f7261c81300e,team_bab4ac375ada,team_1747d4b2dd4b,stadium_a8892e7b09fb,referee_cd3a83fbd77f,manager_47bebc77b4f0,manager_61072a61a0c3,home_win,0
1934,1934-06-03,Semi-finals,Czechoslovakia,Germany,czechoslovakia,germany,3,1,"Nazionale PNF, Rome",Italy,Rinaldo Barlassina,15000,Karel Petru,Otto Nerz,wc_1934,match_f3bf7a6c2fff,team_43c05d43f993,team_28ef36b35ae8,stadium_d156ba11a94a,referee_73d0dec62d33,manager_9b41188675fe,manager_2f09cb7f7c69,home_win,0
1934,1934-06-03,Semi-finals,Italy,Austria,italy,austria,1,0,"San Siro, Milan",Italy,Ivan Eklind,35000,Vittorio Pozzo,Hugo Meisl,wc_1934,match_fdc75cec6e46,team_bab4ac375ada,team_6cd0c266688a,stadium_33529863745f,referee_6b8d4b9bbfb3,manager_47bebc77b4f0,manager_6fd3cc613e7d,home_win,0
1934,1934-06-07,Third-place match,Germany,Austria,germany,austria,3,2,"Giorgio Ascarelli, Naples",Italy,Albino Carraro,7000,Otto Nerz,Hugo Meisl,wc_1934,match_1cf3d44932a4,team_28ef36b35ae8,team_6cd0c266688a,stadium_2dd6d9f93988,referee_96826b0fdf26,manager_2f09cb7f7c69,manager_6fd3cc613e7d,home_win,0
1934,1934-06-10,Final,Italy,Czechoslovakia,italy,czechoslovakia,2,1,"Nazionale PNF, Rome",Italy,Ivan Eklind,55000,Vittorio Pozzo,Karel Petru,wc_1934,match_324159a51ffc,team_bab4ac375ada,team_43c05d43f993,stadium_d156ba11a94a,referee_6b8d4b9bbfb3,manager_47bebc77b4f0,manager_9b41188675fe,home_win,0
1938,1938-06-04,Round of 16,Switzerland,Germany,switzerland,germany,1,1,"Parc des Princes, Paris",France,Jean Langenus,27152,Karl Rappan,Sepp Herberger,wc_1938,match_c6949bcdc8fd,team_0d9c575f4f02,team_28ef36b35ae8,stadium_9635a3d5076a,referee_921f43e400a1,manager_9cd122c8aa39,manager_8fa231841930,draw,1
1938,1938-06-05,Round of 16,Brazil,Poland,brazil,poland,6,5,"Stade de la Meinau, Strasbourg",France,Ivan Eklind,13452,Ademar Pimenta,Jozef Kaluza,wc_1938,match_005f8f367b4e,team_6e5fa4d9c48c,team_6f08c5ddcdd0,stadium_983a13988fa2,referee_6b8d4b9bbfb3,manager_17b2d2660c59,manager_2accbc50ec76,home_win,0
1938,1938-06-05,Round of 16,Cuba,Romania,cuba,romania,3,3,"Stade Municipal, Toulouse",France,Giuseppe Scarpi,7000,Jose Tapia,Coloman Braun,wc_1938,match_030fb78181fe,team_2b84cd5da64a,team_89055f975d7d,stadium_2e57d8fbdcd6,referee_e66f0ba61990,manager_9ff8efa8fe6d,manager_803d86f85962,draw,1
1938,1938-06-05,Round of 16,Italy,Norway,italy,norway,2,1,"Stade Vï¿½lodrome, Marseilles",France,Alois Beranek,19000,Vittorio Pozzo,Asbjorn Halvorsen,wc_1938,match_0b68958b1e27,team_bab4ac375ada,team_e6e6854f6b71,stadium_2d3ceb989423,referee_29258812dc96,manager_47bebc77b4f0,manager_fe92275de5af,home_win,0
1938,1938-06-05,Round of 16,Czechoslovakia,Netherlands,czechoslovakia,netherlands,3,0,"Cavee Verte, Le Havre",France,Lucien Leclercq,11000,Vaclav Meissner,Bob Glendenning,wc_1938,match_24ac113c2ddb,team_43c05d43f993,team_6123486432d2,stadium_706632d937ba,referee_9a48a38a290c,manager_b2d47a593c8f,manager_c522b29c69af,home_win,0
