match_id,tournament_year,match_date,home_team_id,away_team_id,text_available,text_count,combined_pre_match_text,sources,latest_text_time,min_hours_before_match
match_9e0efaa77d92,1954,1954-06-16,team_9142ac5b229c,team_43c05d43f993,0,0,,,,
match_06040fc623b6,1954,1954-06-17,team_f48861ca24e2,team_73fa01094ea6,0,0,,,,
match_31692c93b221,1954,1954-06-17,team_0d9c575f4f02,team_bab4ac375ada,0,0,,,,
match_9503a578c132,1954,1954-06-17,team_3b4bbcb74728,team_3c6cfbc2415a,0,0,,,,
match_e5c1d021aea5,1954,1954-06-17,team_28ef36b35ae8,team_bb3db6b18c5c,0,0,,,,
match_0137ed4d2bf0,1954,1954-06-19,team_6e5fa4d9c48c,team_950ebd5e5210,0,0,,,,
match_388218307dcf,1954,1954-06-19,team_e165d4f2174b,team_4edfc924721a,0,0,,,,
match_d6406087e4e6,1954,1954-06-19,team_9142ac5b229c,team_b0ce0b49f97d,0,0,,,,
match_f3a4788aa428,1954,1954-06-19,team_6cd0c266688a,team_43c05d43f993,0,0,,,,
match_2860c11c6651,1954,1954-06-20,team_bab4ac375ada,team_73fa01094ea6,0,0,,,,
match_31e72e118c79,1954,1954-06-20,team_bb3db6b18c5c,team_3c6cfbc2415a,0,0,,,,
match_45fea1650c27,1954,1954-06-20,team_0d9c575f4f02,team_f48861ca24e2,0,0,,,,
match_7035575dd0c7,1954,1954-06-20,team_3b4bbcb74728,team_28ef36b35ae8,0,0,,,,
match_5de3537aef76,1954,1954-06-23,team_0d9c575f4f02,team_bab4ac375ada,0,0,,,,
match_9d0274a08eb6,1954,1954-06-23,team_28ef36b35ae8,team_bb3db6b18c5c,0,0,,,,
match_340da73f7867,1954,1954-06-26,team_0d9c575f4f02,team_6cd0c266688a,0,0,,,,
match_7ad337434282,1954,1954-06-26,team_9142ac5b229c,team_f48861ca24e2,0,0,,,,
match_89ce65786f51,1954,1954-06-27,team_3b4bbcb74728,team_6e5fa4d9c48c,0,0,,,,
match_c7d7151927a9,1954,1954-06-27,team_28ef36b35ae8,team_950ebd5e5210,0,0,,,,
match_a38f5391cfb4,1954,1954-06-30,team_3b4bbcb74728,team_9142ac5b229c,0,0,,,,
match_a91ffc7eef2c,1954,1954-06-30,team_28ef36b35ae8,team_6cd0c266688a,0,0,,,,
match_686185298950,1954,1954-07-03,team_6cd0c266688a,team_9142ac5b229c,0,0,,,,
match_05a15cc59a21,1954,1954-07-04,team_28ef36b35ae8,team_3b4bbcb74728,0,0,,,,
match_0fb988dd5495,1958,1958-06-08,team_3b4bbcb74728,team_eea7530d166b,0,0,,,,
match_2d33c87634b0,1958,1958-06-08,team_e762c470514b,team_f48861ca24e2,0,0,,,,
match_42221d429458,1958,1958-06-08,team_35380523e7c0,team_43c05d43f993,0,0,,,,
match_66baa885f497,1958,1958-06-08,team_e165d4f2174b,team_3bafbfd8bf5e,0,0,,,,
match_848d674ef813,1958,1958-06-08,team_6e5fa4d9c48c,team_6cd0c266688a,0,0,,,,
match_87406cf298e8,1958,1958-06-08,team_88e52ee42fd0,team_4edfc924721a,0,0,,,,
match_dbfac54edd0b,1958,1958-06-08,team_2a52adc7b1da,team_79efb284d3e2,0,0,,,,
match_f7727d2e9856,1958,1958-06-08,team_950ebd5e5210,team_b0ce0b49f97d,0,0,,,,
match_21f5d02bf944,1958,1958-06-11,team_3bafbfd8bf5e,team_b0ce0b49f97d,0,0,,,,
match_3c1bd46961f1,1958,1958-06-11,team_4edfc924721a,team_eea7530d166b,0,0,,,,
match_4eb6b9d7475b,1958,1958-06-11,team_6e5fa4d9c48c,team_f48861ca24e2,0,0,,,,
match_a2d891e75c6c,1958,1958-06-11,team_e762c470514b,team_6cd0c266688a,0,0,,,,
