match_id,tournament_year,home_team_name,away_team_name,text_available,embedding_row
match_b9a51e9f42fe,2006,Netherlands,Côte d'Ivoire,1,201
match_deb965ff8a96,2006,Mexico,Angola,1,202
match_5b4818db4d78,2006,Czech Republic,Ghana,1,203
match_bbb96a3d63c1,2006,Italy,United States,0,204
match_e6114a99f065,2006,Portugal,IR Iran,1,205
match_306d93259f57,2006,Brazil,Australia,1,206
match_9a8b1fd50058,2006,France,Korea Republic,1,207
match_bd54565fc93d,2006,Japan,Croatia,1,208
match_0435f87a7656,2006,Saudi Arabia,Ukraine,1,209
match_9761a60af99a,2006,Spain,Tunisia,0,210
match_c85103947e3c,2006,Togo,Switzerland,1,211
match_4171ed24076f,2006,Costa Rica,Poland,1,212
match_a0a157f8c41c,2006,Ecuador,Germany,1,213
match_d9bb9289e65c,2006,Paraguay,Trinidad and Tobago,1,214
match_f94999092deb,2006,Sweden,England,1,215
match_1164a9bfe08c,2006,Portugal,Mexico,1,216
match_1e99146b3c91,2006,Netherlands,Argentina,1,217
match_82f0f9b95adc,2006,Côte d'Ivoire,Serbia and Montenegro,1,218
match_a3e6a7e02a67,2006,IR Iran,Angola,1,219
match_3c00552af33e,2006,Czech Republic,Italy,1,220
match_6813a0176740,2006,Japan,Brazil,1,221
match_98a0c8b17fd4,2006,Ghana,United States,1,222
match_ac52be12144c,2006,Croatia,Australia,0,223
match_be35a6aae715,2006,Switzerland,Korea Republic,0,224
match_d0a46aaf2220,2006,Ukraine,Tunisia,1,225
match_fbabf3159258,2006,Togo,France,0,226
match_fd4a86bddd13,2006,Saudi Arabia,Spain,0,227
match_67a851a52c83,2006,Germany,Sweden,0,228
match_c9751c7e8d8d,2006,Argentina,Mexico,0,229
match_0c039f3ab488,2006,Portugal,Netherlands,0,230
match_b572903f7d7d,2006,England,Ecuador,0,231
match_d25a247a9cd7,2006,Italy,Australia,0,232
match_f636dddc05be,2006,Switzerland,Ukraine,0,233
match_9a893538765c,2006,Brazil,Ghana,0,234
match_fdb439a16f8e,2006,Spain,France,0,235
match_44da8feeb787,2006,Germany,Argentina,0,236
match_65458d2354f8,2006,Italy,Ukraine,0,237
match_60cd60b8a67d,2006,Brazil,France,0,238
match_d73016c72b28,2006,England,Portugal,0,239
match_84c7e40f97db,2006,Germany,Italy,0,240
match_76b5c53961d9,2006,Portugal,France,0,241
match_638181c9547c,2006,Germany,Portugal,0,242
match_b1738fd6b9f0,2006,Italy,France,0,243
match_4beb55d47895,2010,Uruguay,France,1,244
match_6d332de38379,2010,South Africa,Mexico,1,245
match_885c05d1c460,2010,Argentina,Nigeria,1,246
match_ae6b0b15a6dd,2010,England,United States,1,247
match_fe3a29a7cf62,2010,Korea Republic,Greece,1,248
match_56390ace74bb,2010,Algeria,Slovenia,1,249
match_89764594046d,2010,Serbia,Ghana,1,250
match_94fde855b459,2010,Germany,Australia,1,251
match_5382383d6aa2,2010,Japan,Cameroon,1,252
match_eeb53d2390c7,2010,Italy,Paraguay,1,253
match_f18d80c33b2b,2010,Netherlands,Denmark,1,254
match_1977cbf2cc74,2010,Côte d'Ivoire,Portugal,1,255
match_e78216e488ee,2010,Brazil,Korea DPR,1,256
match_ea8c05901d08,2010,New Zealand,Slovakia,1,257
match_27b38c67ec93,2010,Spain,Switzerland,1,258
match_3c2aedac227a,2010,Honduras,Chile,0,259
match_e560b3090f89,2010,South Africa,Uruguay,1,260
match_8730b3125e08,2010,Argentina,Korea Republic,1,261
match_9f9f67653593,2010,France,Mexico,1,262
match_b2888b412979,2010,Greece,Nigeria,1,263
match_39d66294377e,2010,England,Algeria,1,264
match_79c4506c4b7d,2010,Germany,Serbia,1,265
match_ba6495ae6246,2010,Slovenia,United States,1,266
match_0be0eaff9e8e,2010,Netherlands,Japan,1,267
match_7e82d87f3a4b,2010,Ghana,Australia,1,268
match_91bb402cf679,2010,Cameroon,Denmark,1,269
match_7f60aa7d5e32,2010,Slovakia,Paraguay,1,270
match_94055b3e8e99,2010,Italy,New Zealand,1,271
match_e4042d5d85f2,2010,Brazil,Côte d'Ivoire,1,272
match_3ad001a7fb1c,2010,Spain,Honduras,1,273
match_bede7c3ffa53,2010,Portugal,Korea DPR,1,274
match_c68a3e002ce8,2010,Chile,Switzerland,0,275
match_0d076caccb87,2010,Mexico,Uruguay,1,276
match_1537ccc2a672,2010,Nigeria,Korea Republic,1,277
match_338cda044346,2010,Greece,Argentina,1,278
match_b68fe9abf7b9,2010,France,South Africa,1,279
match_5c191ca8ec29,2010,Australia,Serbia,1,280
match_806e35ee952d,2010,Ghana,Germany,1,281
match_9f02cbd7620c,2010,United States,Algeria,1,282
match_ec19cb1f0a83,2010,Slovenia,England,1,283
match_1514027a6cf6,2010,Paraguay,New Zealand,1,284
match_2874d7ca4e82,2010,Denmark,Japan,1,285
match_bbd880da561d,2010,Slovakia,Italy,1,286
match_e16b84b5546c,2010,Cameroon,Netherlands,1,287
