model_name,feature_set,accuracy_val,balanced_accuracy_val,macro_f1_val,weighted_f1_val,draw_recall_val,draw_f1_val,accuracy_test,balanced_accuracy_test,macro_f1_test,weighted_f1_test,draw_recall_test,draw_f1_test
numeric_text_graph_logreg,combined_numeric_text_simple_graph,0.53125,0.44769230769230767,0.39939835705194954,0.47603913571676504,0.0,0.0,0.40625,0.3875478927203065,0.3666666666666667,0.4010416666666667,0.13333333333333333,0.16666666666666666
numeric_text_graph_logreg,combined_numeric_text_simple_graph,0.53125,0.44769230769230767,0.39939835705194954,0.47603913571676504,0.0,0.0,0.40625,0.3875478927203065,0.3666666666666667,0.4010416666666667,0.13333333333333333,0.16666666666666666
wc_history_logreg,wc_history,0.40625,0.36358974358974355,0.37763012181616834,0.43048172757475084,0.15384615384615385,0.11428571428571428,0.46875,0.4557471264367816,0.45353100589829426,0.48186423959827834,0.4,0.3333333333333333
text_only_rf_train_text_available_eval_all,text_embeddings_train_text_available_eval_all,0.40625,0.38000000000000006,0.3765969487892689,0.38676827836578404,0.23076923076923078,0.3157894736842105,0.359375,0.32720306513409964,0.3257918552036199,0.3651018099547511,0.13333333333333333,0.15384615384615385
form_last10_logreg,form_last10,0.375,0.3779487179487179,0.3687565116136544,0.3934058420665564,0.38461538461538464,0.23809523809523808,0.265625,0.2745210727969349,0.27065238996482677,0.2793938451167976,0.26666666666666666,0.17391304347826086
simple_graph_logreg,simple_graph_features,0.40625,0.36564102564102563,0.3646153846153846,0.40531249999999996,0.15384615384615385,0.15384615384615385,0.53125,0.4850574712643678,0.47804232804232805,0.5262276785714286,0.2,0.2222222222222222
simple_graph_logreg,simple_graph_features,0.40625,0.36564102564102563,0.3646153846153846,0.40531249999999996,0.15384615384615385,0.15384615384615385,0.53125,0.4850574712643678,0.47804232804232805,0.5262276785714286,0.2,0.2222222222222222
text_only_mlp_all_matches,text_embeddings_all_matches_zero_missing,0.390625,0.3517948717948718,0.35384257644459943,0.38330681025462154,0.15384615384615385,0.2,0.453125,0.42394636015325665,0.4108374384236453,0.42378386699507387,0.4666666666666667,0.4827586206896552
text_only_mlp_train_text_available_eval_all,text_embeddings_train_text_available_eval_all,0.359375,0.32564102564102565,0.32897278798918145,0.35705932273555224,0.15384615384615385,0.18181818181818182,0.421875,0.40651340996168583,0.38468668891360774,0.390633690211346,0.5333333333333333,0.5161290322580645
text_only_logreg_train_text_available_eval_all,text_embeddings_train_text_available_eval_all,0.359375,0.341025641025641,0.32172008547008546,0.33602213541666665,0.23076923076923078,0.24,0.40625,0.42088122605363987,0.41108979823813585,0.41308510496589945,0.5333333333333333,0.47058823529411764
text_only_logreg_all_matches,text_embeddings_all_matches_zero_missing,0.328125,0.3123076923076923,0.3135600907029478,0.32766156462585033,0.23076923076923078,0.24,0.453125,0.4346743295019157,0.41185506460648774,0.42970656004337215,0.5333333333333333,0.47058823529411764
text_only_rf_all_matches,text_embeddings_all_matches_zero_missing,0.34375,0.30153846153846153,0.2904785548777604,0.3253846955241878,0.07692307692307693,0.10526315789473684,0.40625,0.3724137931034483,0.37093880396559326,0.3988861186294713,0.2,0.23076923076923078
stage_logreg,stage,0.234375,0.32051282051282054,0.2006033182503771,0.18198529411764708,0.7692307692307693,0.3076923076923077,0.28125,0.335632183908046,0.22751109318273496,0.23091468334005646,0.8,0.3582089552238806
majority,none,0.40625,0.3333333333333333,0.19259259259259257,0.2347222222222222,0.0,0.0,0.453125,0.3333333333333333,0.2078853046594982,0.2825940860215054,0.0,0.0
text_meta_logreg,text_meta,0.1875,0.2312820512820513,0.17205387205387204,0.163510101010101,0.46153846153846156,0.2222222222222222,0.328125,0.3586206896551724,0.31983644521638444,0.3158448219713417,0.6,0.3829787234042553
